State,County,Population,Death_Rate,Standard_Deviation,Urban/Rural Category,CensusDivison,Fips
North Carolina,Alamance County,162391,24.3842418,3.12940044,Small Metro,5,1
North Carolina,Alexander County,37286,25.18417433,4.647529844,Medium Metro,5,3
North Carolina,Alleghany County,11031,29.13070019,6.201685426,Noncore,5,5
North Carolina,Anson County,24991,17.9364389,3.686874859,Noncore,5,7
North Carolina,Ashe County,26957,25.55761309,4.954483137,Noncore,5,9
North Carolina,Avery County,17536,24.9654132,5.110742608,Noncore,5,11
North Carolina,Beaufort County,47088,27.39377932,4.771021447,Noncore,5,13
North Carolina,Bertie County,19224,18.73110448,3.924275827,Noncore,5,15
North Carolina,Bladen County,33478,20.34408261,3.948430195,Noncore,5,17
North Carolina,Brunswick County,130897,35.06924884,4.279205194,Small Metro,5,19
North Carolina,Buncombe County,257607,39.17141645,3.537868277,Small Metro,5,21
North Carolina,Burke County,89293,32.14066009,4.552195493,Medium Metro,5,23
North Carolina,Cabarrus County,206872,29.67404589,3.262743757,Large Fringe Metro,5,25
North Carolina,Caldwell County,81981,25.95290573,3.9996886,Medium Metro,5,27
North Carolina,Camden County,10581,19.97618272,4.441492221,Micropolitan,5,29
North Carolina,Carteret County,68881,27.44316285,4.35001948,Noncore,5,31
North Carolina,Caswell County,22646,20.67470711,4.235426943,Noncore,5,33
North Carolina,Catawba County,157974,27.15026753,3.390310257,Medium Metro,5,35
North Carolina,Chatham County,71472,14.89926603,2.683789819,Medium Metro,5,37
North Carolina,Cherokee County,28087,31.80762209,5.917390048,Noncore,5,39
North Carolina,Chowan County,14105,21.83652915,4.705231291,Noncore,5,41
North Carolina,Clay County,11074,29.95247488,6.329140267,Noncore,5,43
North Carolina,Cleveland County,97334,19.20593969,3.060566821,Micropolitan,5,45
North Carolina,Columbus County,55936,22.96888752,3.981605033,Noncore,5,47
North Carolina,Craven County,102578,31.17800174,4.289902781,Micropolitan,5,49
North Carolina,Cumberland County,332546,28.93268381,2.66552124,Medium Metro,5,51
North Carolina,Currituck County,26331,22.49864832,4.45828608,Large Fringe Metro,5,53
North Carolina,Dare County,36099,28.19186586,5.106451575,Noncore,5,55
North Carolina,Davidson County,165466,30.54912175,3.600659576,Medium Metro,5,57
North Carolina,Davie County,42456,22.90430058,4.205286696,Medium Metro,5,59
North Carolina,Duplin County,59039,13.59476406,2.566715067,Noncore,5,61
North Carolina,Durham County,311640,15.88781577,1.887929173,Medium Metro,5,63
North Carolina,Edgecombe County,52747,18.3925938,3.373797065,Small Metro,5,65
North Carolina,Forsyth County,376320,22.2780378,2.168913501,Medium Metro,5,67
North Carolina,Franklin County,66168,17.04414679,3.043021677,Medium Metro,5,69
North Carolina,Gaston County,220182,26.12152988,2.938441241,Large Fringe Metro,5,71
North Carolina,Gates County,11544,19.80274841,4.290482983,Noncore,5,73
North Carolina,Graham County,8541,30.09698809,6.481443284,Noncore,5,75
North Carolina,Granville County,59557,17.9328936,3.236360447,Noncore,5,77
North Carolina,Greene County,21015,15.4275497,3.30186285,Noncore,5,79
North Carolina,Guilford County,526953,22.11027293,1.880775826,Medium Metro,5,81
North Carolina,Halifax County,51310,15.39106129,2.922891529,Micropolitan,5,83
North Carolina,Harnett County,132754,21.63257989,3.071970532,Noncore,5,85
North Carolina,Haywood County,61084,30.22628958,4.825192669,Noncore,5,87
North Carolina,Henderson County,115708,28.65014535,3.894008762,Noncore,5,89
North Carolina,Hertford County,23906,17.51567591,3.632919682,Noncore,5,91
North Carolina,Hoke County,54116,15.50576874,2.909989202,Noncore,5,93
North Carolina,Hyde County,5363,23.21823815,5.20752594,Noncore,5,95
North Carolina,Iredell County,175711,23.2066719,2.945788351,Micropolitan,5,97
North Carolina,Jackson County,42973,29.10316559,5.0879617,Noncore,5,99
North Carolina,Johnston County,196708,18.00701182,2.397711401,Medium Metro,5,101
North Carolina,Jones County,9597,24.84445097,5.385211443,Noncore,5,103
North Carolina,Lee County,60430,23.43834578,4.004170914,Micropolitan,5,105
North Carolina,Lenoir County,56883,22.59245571,3.933858301,Micropolitan,5,107
North Carolina,Lincoln County,82403,19.12160243,3.165490531,Large Fringe Metro,5,109
North Carolina,McDowell County,45159,30.34570058,5.194628978,Noncore,5,111
North Carolina,Macon County,34732,28.34262654,5.200778718,Noncore,5,113
North Carolina,Madison County,21746,25.25999225,5.04883876,Small Metro,5,115
North Carolina,Martin County,22789,19.89815018,4.090894403,Noncore,5,117
North Carolina,Mecklenburg County,1076837,18.25432224,1.235245982,Large Central Metro,5,119
North Carolina,Mitchell County,15072,28.51847802,5.879465353,Noncore,5,121
North Carolina,Montgomery County,27435,20.70591895,4.131588851,Noncore,5,123
North Carolina,Moore County,97264,17.79562611,2.892690033,Noncore,5,125
North Carolina,Nash County,93991,16.21512462,2.71377517,Small Metro,5,127
North Carolina,New Hanover County,227198,35.51261774,3.510928074,Small Metro,5,129
North Carolina,Northampton County,19862,18.15202533,3.823459868,Noncore,5,131
North Carolina,Onslow County,193893,19.00408742,2.497015003,Small Metro,5,133
North Carolina,Orange County,144946,12.34856836,1.992568027,Medium Metro,5,135
North Carolina,Pamlico County,12689,25.27080393,5.386113031,Noncore,5,137
North Carolina,Pasquotank County,39743,19.6239333,3.763398213,Micropolitan,5,139
North Carolina,Pender County,60958,23.14781071,3.947237119,Noncore,5,141
North Carolina,Perquimans County,13474,17.96159926,3.929695426,Noncore,5,143
North Carolina,Person County,39370,17.5279336,3.397899913,Noncore,5,145
North Carolina,Pitt County,179042,24.55119325,3.04135406,Small Metro,5,147
North Carolina,Polk County,20558,28.12965172,5.569704744,Noncore,5,149
North Carolina,Randolph County,143282,32.57595051,3.952587656,Medium Metro,5,151
North Carolina,Richmond County,44798,21.07341029,3.871098271,Noncore,5,153
North Carolina,Robeson County,132606,18.46093509,2.739631208,Micropolitan,5,155
North Carolina,Rockingham County,90949,24.83996011,3.763224834,Micropolitan,5,157
North Carolina,Rowan County,140644,44.07362791,4.824626657,Large Fringe Metro,5,159
North Carolina,Rutherford County,66551,30.84887078,4.807191675,Noncore,5,161
North Carolina,Sampson County,63430,17.93761159,3.190044846,Noncore,5,163
North Carolina,Scotland County,35093,17.88773301,3.539463857,Micropolitan,5,165
North Carolina,Stanly County,61482,27.41039353,4.486413808,Micropolitan,5,167
North Carolina,Stokes County,45717,33.90731882,5.660053659,Medium Metro,5,169
North Carolina,Surry County,72224,28.5405498,4.434672063,Noncore,5,171
North Carolina,Swain County,14294,33.21641392,6.755424182,Noncore,5,173
North Carolina,Transylvania County,33956,27.2558866,5.036861929,Noncore,5,175
North Carolina,Tyrrell County,4052,19.93044563,4.636930496,Noncore,5,177
North Carolina,Union County,231366,14.5510641,1.966438581,Large Fringe Metro,5,179
North Carolina,Vance County,44211,22.57919212,4.152333521,Micropolitan,5,181
North Carolina,Wake County,1072203,13.90711497,1.063432293,Medium Metro,5,183
North Carolina,Warren County,19883,17.76322953,4.077782218,Noncore,5,185
North Carolina,Washington County,12012,18.33390431,3.993744073,Noncore,5,187
North Carolina,Watauga County,55121,18.14013007,3.303603134,Micropolitan,5,189
North Carolina,Wayne County,124172,17.19094798,2.651363946,Small Metro,5,191
North Carolina,Wilkes County,68576,32.32868696,4.92150237,Noncore,5,193
North Carolina,Wilson County,81671,16.37680117,2.81882752,Micropolitan,5,195
North Carolina,Yadkin County,37774,25.46653965,4.66318543,Medium Metro,5,197
North Carolina,Yancey County,17744,28.24302407,5.725378451,Noncore,5,199
